Designator,Mid X,Mid Y,Rotation,Layer
C1,80.324999,81.8225,180.0,top
C10,54.675,49.0225,180.0,top
C11,60.475,69.1225,90.0,top
C2,74.324999,90.3225,270.0,top
C26,46.425,63.3475,270.0,top
C27,44.925,63.3475,270.0,top
C28,44.925,54.7225,270.0,top
C29,42.425,64.5975,180.0,top
C3,40.225,96.8125,90.0,top
C30,46.425,51.4975,270.0,top
C31,44.915,51.4975,270.0,top
C32,42.4,53.3475,180.0,top
C33,44.925,43.7725,270.0,top
C34,74.865,55.0475,90.0,top
C35,76.375,55.0475,90.0,top
C36,76.375,63.5225,90.0,top
C37,78.875,53.5975,0.0,top
C38,74.875,43.5175,90.0,top
C39,76.385,43.5225,90.0,top
C4,73.965,77.1125,0.0,top
C40,76.375,51.7975,90.0,top
C41,78.875,42.3475,0.0,top
C5,46.975,96.0225,270.0,top
C6,48.975,97.7725,90.0,top
C7,50.725,97.7725,90.0,top
C8,58.475,69.1225,270.0,top
C9,63.875,70.9225,270.0,top
D2,77.162499,93.0225,0.0,top
D3,77.249999,97.2725,180.0,top
D4,88.765,83.55,270.0,top
J1,17.185,82.9125,270.0,top
J3,100.29,83.63,90.0,top
Motor A,25.975,67.4975,0.0,top
Motor AS,19.95,52.5225,270.0,top
Motor B,19.95,31.2725,270.0,top
Motor BS,34.725,23.2725,0.0,top
Motor C,100.75,31.7725,90.0,top
Motor CS,85.475,23.4975,0.0,top
Motor D,94.725,67.7725,0.0,top
Motor DS,100.475,53.0225,90.0,top
R1,23.175,85.9125,270.0,top
R10,59.324998,38.685,270.0,top
R11,61.325,38.685,270.0,top
R12,63.324998,38.685,270.0,top
R13,65.325,38.685,270.0,top
R14,63.225,56.2725,90.0,top
R15,62.715,65.0125,180.0,top
R16,67.965,65.0125,0.0,top
R17,55.975,54.5225,0.0,top
R18,59.475,54.5225,180.0,top
R2,23.175,79.6125,90.0,top
R4,80.912499,93.0225,0.0,top
R5,45.475,96.7725,270.0,top
R6,73.249999,97.2725,180.0,top
R7,60.725,28.0225,180.0,top
R8,56.225,28.0225,0.0,top
R9,57.324999,38.685,270.0,top
SW1,42.725,96.7725,0.0,top
SW2,74.07,79.7,270.0,top
SW4,64.935,62.2725,0.0,top
Time Of Flight,58.475,23.0225,0.0,top
U1,78.824999,87.3225,270.0,top
U10,82.125,59.0975,90.0,top
U11,82.125,47.8475,90.0,top
U2,61.395,92.8725,0.0,top
U4,61.375,45.9725,0.0,top
U5,60.575,73.6225,0.0,top
U8,39.175,59.0975,270.0,top
U9,39.175,47.8475,270.0,top
